tf,sym,side,score,score_trend,score_smc,score_osc,ep,sl,tp1,tp2,sl_pct,rsi,in_kz,regime,entry_ts,exit_ts,exit_px,exit_type,tp1_hit,outcome,pnl
15m,SUI/USDT,LONG,17,9,2,2,0.9749,0.9535,1.0006,1.0177,2.195,65.4,False,TRENDING,2026-04-16 03:45:00+00:00,2026-04-16 14:15:00+00:00,0.9535,SL,False,LOSS,-10.0
15m,SUI/USDT,LONG,14,0,3,2,0.9786,0.973,0.9853,0.9898,0.571,32.0,False,TRENDING,2026-04-17 06:00:00+00:00,2026-04-17 07:30:00+00:00,0.9898,TP2,True,WIN,15.98
15m,SUI/USDT,LONG,16,8,2,2,0.9985,0.9741,1.0278,1.0473,2.444,65.1,True,TRENDING,2026-04-17 09:00:00+00:00,2026-04-17 23:15:00+00:00,0.9985,SL_BE,True,WIN,6.0
15m,SUI/USDT,SHORT,13,0,2,4,0.9954,1.0177,0.9686,0.9508,2.24,31.2,False,TRENDING,2026-04-18 00:45:00+00:00,2026-04-19 01:30:00+00:00,0.9508,TP2,True,WIN,16.01
15m,SUI/USDT,SHORT,19,10,2,2,0.949,0.9639,0.9311,0.9192,1.57,35.7,False,TRENDING,2026-04-19 01:30:00+00:00,2026-04-19 13:15:00+00:00,0.9639,SL,False,LOSS,-10.0
15m,SUI/USDT,SHORT,12,1,1,2,0.9619,0.9673,0.9554,0.9511,0.561,74.1,True,TRENDING,2026-04-19 13:45:00+00:00,2026-04-19 14:45:00+00:00,0.9673,SL,False,LOSS,-10.0
15m,SUI/USDT,SHORT,16,1,1,4,0.9625,0.9716,0.9516,0.9443,0.945,72.2,True,TRENDING,2026-04-19 15:00:00+00:00,2026-04-19 17:00:00+00:00,0.9443,TP2,True,WIN,15.99
30m,SUI/USDT,SHORT,13,0,2,1,0.9561,0.974,0.9346,0.9203,1.872,54.5,False,TRENDING,2026-04-16 01:00:00+00:00,2026-04-16 03:30:00+00:00,0.974,SL,False,LOSS,-10.0
30m,SUI/USDT,LONG,13,0,0,4,0.9749,0.9492,1.0057,1.0263,2.636,64.2,False,TRENDING,2026-04-16 03:30:00+00:00,2026-04-17 05:30:00+00:00,0.9749,SL_BE,True,WIN,5.99
30m,SUI/USDT,SHORT,14,0,0,4,1.0309,1.0433,1.016,1.0061,1.203,74.5,True,TRENDING,2026-04-17 14:00:00+00:00,2026-04-17 23:00:00+00:00,1.0061,TP2,True,WIN,16.01
1H,SUI/USDT,LONG,12,0,1,2,0.9686,0.9565,0.9831,0.9928,1.248,34.6,True,TRENDING,2026-04-18 14:00:00+00:00,2026-04-18 17:00:00+00:00,0.9565,SL,False,LOSS,-10.0
1H,SUI/USDT,LONG,11,0,0,2,0.9603,0.9489,0.9739,0.983,1.183,33.8,False,TRENDING,2026-04-18 17:00:00+00:00,2026-04-19 01:00:00+00:00,0.9489,SL,False,LOSS,-10.0
