strategy,symbol,side,entry_time,entry_px,sl_px,tp_px,atr,exit_time,exit_px,outcome,pnl_pct,pnl_usd,score,passed,session,in_killzone,adx,rsi,vol_expand
COMBINED,ETHUSDT,SHORT,2024-08-02 15:00:00+00:00,3038.3,3082.4034,2928.0415,36.7528,2024-08-03 01:00:00+00:00,2928.0415,WIN,3.629,37.5,62,6,LATE,False,49.6,22.8,False
COMBINED,ETHUSDT,SHORT,2024-08-03 02:00:00+00:00,2956.51,3005.1348,2834.948,40.5207,2024-08-03 11:00:00+00:00,3005.1348,LOSS,-1.645,-15.0,62,6,EUROPE,False,48.7,38.9,False
COMBINED,ETHUSDT,SHORT,2024-08-03 14:00:00+00:00,3007.3,3038.8855,2928.3363,26.3212,2024-08-03 16:00:00+00:00,2928.3363,WIN,2.626,37.5,82,8,US,True,41.2,30.3,True
COMBINED,ETHUSDT,SHORT,2024-08-03 16:00:00+00:00,2942.4,2976.6478,2856.7804,28.5399,2024-08-04 14:00:00+00:00,2856.7804,WIN,2.91,37.5,72,7,US,True,48.6,42.3,False
COMBINED,ETHUSDT,SHORT,2024-08-04 14:00:00+00:00,2910.71,2939.5647,2838.5733,24.0456,2024-08-04 15:00:00+00:00,2838.5733,WIN,2.478,37.5,82,8,US,True,49.6,31.6,True
COMBINED,ETHUSDT,SHORT,2024-08-04 15:00:00+00:00,2864.4,2896.4659,2784.2352,26.7216,2024-08-04 17:00:00+00:00,2784.2352,WIN,2.799,37.5,72,7,US,False,52.3,23.8,True
COMBINED,ETHUSDT,SHORT,2024-08-04 17:00:00+00:00,2811.19,2845.6007,2725.1631,28.6756,2024-08-04 18:00:00+00:00,2725.1631,WIN,3.06,37.5,72,7,US,False,54.7,15.1,True
COMBINED,ETHUSDT,SHORT,2024-08-04 18:00:00+00:00,2700.59,2749.8674,2577.3965,41.0645,2024-08-04 19:00:00+00:00,2749.8674,LOSS,-1.825,-15.0,72,7,US,False,56.9,23.1,True
COMBINED,ETHUSDT,SHORT,2024-08-04 19:00:00+00:00,2729.7,2780.3476,2603.081,42.2063,2024-08-05 00:00:00+00:00,2603.081,WIN,4.639,37.5,62,6,LATE,False,61.1,23.5,False
COMBINED,ETHUSDT,SHORT,2024-08-05 01:00:00+00:00,2526.32,2591.1706,2364.1935,54.0422,2024-08-05 02:00:00+00:00,2364.1935,WIN,6.417,37.5,72,7,ASIA,False,64.8,9.8,True
COMBINED,ETHUSDT,SHORT,2024-08-05 02:00:00+00:00,2319.19,2418.4787,2070.9682,82.7406,2024-08-05 14:00:00+00:00,2418.4787,LOSS,-4.281,-15.0,64,6,US,True,71.6,36.1,False
COMBINED,ETHUSDT,SHORT,2024-08-06 15:00:00+00:00,2523.71,2595.235,2344.8975,59.6042,2024-08-07 18:00:00+00:00,2344.8975,WIN,7.085,37.5,52,5,US,False,18.3,31.5,False
COMBINED,ETHUSDT,SHORT,2024-08-07 21:00:00+00:00,2349.4,2403.2257,2214.8357,44.8548,2024-08-08 01:00:00+00:00,2403.2257,LOSS,-2.291,-15.0,62,6,LATE,False,33.7,34.2,False
COMBINED,ETHUSDT,SHORT,2024-08-08 14:00:00+00:00,2434.1,2484.5938,2307.8654,42.0782,2024-08-08 15:00:00+00:00,2484.5938,LOSS,-2.074,-15.0,72,7,US,True,20.0,60.7,True
COMBINED,ETHUSDT,SHORT,2024-08-08 15:00:00+00:00,2499.0,2552.4889,2365.2779,44.574,2024-08-08 16:00:00+00:00,2552.4889,LOSS,-2.14,-15.0,54,5,US,True,20.1,61.8,False
COMBINED,ETHUSDT,SHORT,2024-08-08 18:00:00+00:00,2578.91,2634.5454,2439.8216,46.3628,2024-08-08 21:00:00+00:00,2634.5454,LOSS,-2.157,-15.0,54,5,US,False,26.7,66.5,False
COMBINED,ETHUSDT,SHORT,2024-08-08 23:00:00+00:00,2707.33,2765.6417,2561.5509,48.593,2024-08-09 14:00:00+00:00,2561.5509,WIN,5.385,37.5,80,8,US,True,33.2,51.8,True
COMBINED,ETHUSDT,SHORT,2024-08-09 14:00:00+00:00,2616.4,2664.9889,2494.9279,40.4907,2024-08-11 03:00:00+00:00,2664.9889,LOSS,-1.857,-15.0,42,4,ASIA,False,17.5,56.0,False
COMBINED,ETHUSDT,SHORT,2024-08-11 08:00:00+00:00,2677.49,2702.708,2614.4451,21.015,2024-08-11 09:00:00+00:00,2702.708,LOSS,-0.942,-15.0,82,8,EUROPE,True,30.7,73.2,True
COMBINED,ETHUSDT,SHORT,2024-08-11 09:00:00+00:00,2686.0,2711.4147,2622.4633,21.1789,2024-08-11 13:00:00+00:00,2622.4633,WIN,2.365,37.5,54,5,EUROPE,False,33.6,49.6,True
COMBINED,ETHUSDT,SHORT,2024-08-11 15:00:00+00:00,2615.4,2646.2945,2538.1638,25.7454,2024-08-12 00:00:00+00:00,2538.1638,WIN,2.953,37.5,62,6,LATE,False,24.7,33.8,False
COMBINED,ETHUSDT,SHORT,2024-08-12 01:00:00+00:00,2537.54,2578.0245,2436.3288,33.7371,2024-08-12 07:00:00+00:00,2578.0245,LOSS,-1.595,-15.0,62,6,ASIA,False,29.9,38.5,False
COMBINED,ETHUSDT,SHORT,2024-08-12 08:00:00+00:00,2567.26,2605.9156,2470.621,32.213,2024-08-12 10:00:00+00:00,2605.9156,LOSS,-1.506,-15.0,64,6,EUROPE,True,30.1,53.2,False
COMBINED,ETHUSDT,SHORT,2024-08-12 12:00:00+00:00,2673.13,2715.8142,2566.4195,35.5702,2024-08-12 14:00:00+00:00,2715.8142,LOSS,-1.597,-15.0,74,7,US,True,25.9,52.2,True
COMBINED,ETHUSDT,SHORT,2024-08-12 14:00:00+00:00,2614.99,2663.2362,2494.3744,40.2052,2024-08-12 15:00:00+00:00,2663.2362,LOSS,-1.845,-15.0,72,7,US,True,24.4,64.3,True
COMBINED,ETHUSDT,SHORT,2024-08-12 15:00:00+00:00,2702.25,2758.2589,2562.2276,46.6741,2024-08-14 10:00:00+00:00,2758.2589,LOSS,-2.073,-15.0,50,5,EUROPE,True,18.0,57.3,False
COMBINED,ETHUSDT,SHORT,2024-08-14 14:00:00+00:00,2658.91,2701.2168,2553.143,35.2557,2024-08-15 18:00:00+00:00,2553.143,WIN,3.978,37.5,44,4,US,False,18.7,38.7,False
