tf,sym,side,score,score_trend,score_smc,score_osc,ep,sl,tp1,tp2,sl_pct,rsi,in_kz,regime,entry_ts,exit_ts,exit_px,exit_type,tp1_hit,outcome,pnl
30m,XRP/USDT,SHORT,8,8,1,0,2.0063,2.1142,1.8768,1.7905,5.378,26.8,False,RANGING,2025-12-11 02:30:00+00:00,2025-12-13 03:30:00+00:00,2.0226,TIMEOUT,False,LOSS,-1.51
30m,XRP/USDT,SHORT,8,3,3,2,2.0342,2.0433,2.0233,2.016,0.447,60.4,False,RANGING,2025-12-13 04:30:00+00:00,2025-12-13 08:00:00+00:00,2.0433,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,8,3,3,2,2.0319,2.0483,2.0122,1.9991,0.807,61.4,False,TRENDING,2025-12-13 12:30:00+00:00,2025-12-14 11:30:00+00:00,1.9991,TP2,True,WIN,16.01
30m,XRP/USDT,SHORT,9,8,2,0,2.0043,2.03,1.9735,1.9529,1.282,27.2,False,TRENDING,2025-12-14 12:30:00+00:00,2025-12-15 01:30:00+00:00,2.0043,SL_BE,True,WIN,5.99
30m,XRP/USDT,SHORT,10,5,3,2,1.9957,2.0141,1.9736,1.9589,0.922,60.2,False,VOLATILE,2025-12-15 02:30:00+00:00,2025-12-15 13:30:00+00:00,1.9589,TP2,True,WIN,16.01
30m,XRP/USDT,SHORT,12,8,4,0,1.9412,2.0055,1.864,1.8126,3.312,38.2,True,RANGING,2025-12-15 14:30:00+00:00,2025-12-16 13:00:00+00:00,1.9412,SL_BE,True,WIN,6.0
30m,XRP/USDT,SHORT,9,3,2,4,1.9283,1.9491,1.9033,1.8867,1.079,60.5,False,TRENDING,2025-12-16 16:30:00+00:00,2025-12-17 13:30:00+00:00,1.9283,SL_BE,True,WIN,6.01
30m,XRP/USDT,SHORT,8,6,0,2,1.8988,1.9875,1.7924,1.7214,4.671,38.9,False,VOLATILE,2025-12-17 16:30:00+00:00,2025-12-19 15:00:00+00:00,1.8988,SL_BE,True,WIN,6.0
30m,XRP/USDT,SHORT,8,7,2,0,1.9086,1.9473,1.8622,1.8312,2.028,36.1,False,TRENDING,2025-12-22 22:30:00+00:00,2025-12-24 23:30:00+00:00,1.8626,TIMEOUT,True,WIN,11.94
30m,XRP/USDT,SHORT,11,6,3,2,1.8576,1.8811,1.8294,1.8106,1.265,44.4,False,RANGING,2025-12-25 10:30:00+00:00,2025-12-25 15:30:00+00:00,1.8811,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,11,6,3,2,1.869,1.8892,1.8448,1.8286,1.081,46.8,False,RANGING,2025-12-25 20:30:00+00:00,2025-12-26 00:00:00+00:00,1.8286,TP2,True,WIN,15.99
30m,XRP/USDT,SHORT,9,8,2,0,1.8323,1.8892,1.764,1.7185,3.105,24.4,False,TRENDING,2025-12-26 00:30:00+00:00,2025-12-28 01:30:00+00:00,1.8708,TIMEOUT,False,LOSS,-6.77
30m,XRP/USDT,LONG,9,8,2,0,1.892,1.8536,1.9381,1.9688,2.03,72.5,False,RANGING,2025-12-29 02:30:00+00:00,2025-12-29 19:00:00+00:00,1.8536,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,11,7,2,2,1.8496,1.8836,1.8088,1.7816,1.838,31.4,False,TRENDING,2025-12-29 20:30:00+00:00,2025-12-30 17:30:00+00:00,1.8836,SL,False,LOSS,-10.0
30m,XRP/USDT,SHORT,11,7,2,2,1.8442,1.883,1.7976,1.7666,2.104,30.2,False,RANGING,2025-12-31 16:30:00+00:00,2026-01-02 03:00:00+00:00,1.883,SL,False,LOSS,-10.0
30m,XRP/USDT,LONG,11,7,1,2,1.8806,1.8688,1.8948,1.9042,0.627,50.3,True,TRENDING,2026-01-02 08:30:00+00:00,2026-01-02 10:00:00+00:00,1.9042,TP2,True,WIN,16.02
30m,XRP/USDT,LONG,9,8,2,0,1.8976,1.8689,1.932,1.955,1.512,69.9,False,TRENDING,2026-01-02 10:30:00+00:00,2026-01-02 16:30:00+00:00,1.955,TP2,True,WIN,15.99
30m,XRP/USDT,LONG,9,8,2,0,1.9631,1.8711,2.0735,2.1471,4.686,77.7,False,VOLATILE,2026-01-02 16:30:00+00:00,2026-01-04 17:30:00+00:00,2.0957,TIMEOUT,True,WIN,13.21
