sym,tf,side,score,score_trend,score_smc,score_osc,score_liq,ep,sl,tp1,tp2,sl_pct,rsi,in_kz,regime,entry_ts,exit_ts,exit_px,exit_type,tp1_hit,outcome,pnl,pnl_pct,notional,balance_at_entry
BTC/USDT,2h,SHORT,11,0,2,4,5,93012.3,95495.0,90033.06,88046.9,2.669,32.9,False,TRENDING,2026-01-19 14:00:00+00:00,2026-01-20 22:00:00+00:00,88046.9,TP2,True,WIN,11.75,4.27,275.24,1376.19
LINK/USDT,30m,SHORT,19,10,2,1,8,12.77,12.87,12.64,12.56,0.791,37.1,True,TRENDING,2026-01-19 15:30:00+00:00,2026-01-19 16:30:00+00:00,12.87,SL,False,LOSS,-2.84,-0.78,362.45,1812.23
BNB/USDT,4h,SHORT,14,0,2,4,8,926.4,959.1,887.16,861.0,3.53,42.2,False,RANGING,2026-01-19 16:00:00+00:00,2026-01-22 00:00:00+00:00,890.7,TIMEOUT,True,WIN,9.29,4.04,229.74,1148.72
LINK/USDT,1h,SHORT,16,9,0,4,5,12.89,13.85,11.74,10.97,7.454,25.2,True,TRENDING,2026-01-19 16:00:00+00:00,2026-01-21 18:00:00+00:00,12.106,TIMEOUT,False,WIN,21.39,6.08,351.6,1758.0
LINK/USDT,2h,SHORT,16,9,2,2,5,12.93,13.88,11.8,11.05,7.284,27.7,False,TRENDING,2026-01-19 18:00:00+00:00,2026-01-21 22:00:00+00:00,12.393,TIMEOUT,False,WIN,14.33,4.15,345.01,1725.07
SOL/USDT,2h,SHORT,16,9,2,2,5,134.36,143.93,122.88,115.22,7.123,27.2,False,TRENDING,2026-01-19 18:00:00+00:00,2026-01-21 22:00:00+00:00,129.46,TIMEOUT,False,WIN,13.55,3.65,371.5,1857.52
LINK/USDT,30m,SHORT,13,8,1,1,5,12.93,13.0,12.85,12.8,0.504,57.4,False,TRENDING,2026-01-19 19:30:00+00:00,2026-01-19 23:00:00+00:00,12.8,TP2,True,WIN,2.94,0.81,361.88,1809.39
AVAX/USDT,4h,SHORT,12,0,2,2,8,12.73,13.97,11.24,10.25,9.744,32.3,False,TRENDING,2026-01-19 20:00:00+00:00,2026-01-22 04:00:00+00:00,12.423,TIMEOUT,False,WIN,6.04,2.41,250.62,1253.08
SOL/USDT,1h,SHORT,17,10,0,1,8,134.61,142.79,124.79,118.25,6.077,35.6,False,TRENDING,2026-01-19 20:00:00+00:00,2026-01-21 22:00:00+00:00,130.53,TIMEOUT,True,WIN,21.53,5.16,417.08,2085.38
LINK/USDT,15m,LONG,11,0,2,4,5,12.96,12.75,13.21,13.38,1.628,72.9,False,TRENDING,2026-01-19 20:30:00+00:00,2026-01-20 05:00:00+00:00,12.75,SL,False,LOSS,-4.75,-1.62,293.38,1466.91
DOGE/USDT,2h,LONG,12,0,3,4,5,0.1291,0.1185,0.1417,0.1502,8.165,35.9,False,TRENDING,2026-01-19 22:00:00+00:00,2026-01-22 02:00:00+00:00,0.12685,TIMEOUT,False,LOSS,-6.59,-1.74,377.94,1889.72
SOL/USDT,30m,SHORT,19,10,2,4,5,133.44,135.09,131.46,130.14,1.237,33.6,False,TRENDING,2026-01-19 23:00:00+00:00,2026-01-20 08:00:00+00:00,130.14,TP2,True,WIN,5.82,1.98,294.22,1471.08
SOL/USDT,1d,SHORT,14,0,3,3,8,125.75,148.88,97.99,79.49,18.394,45.9,False,TRENDING,2026-01-20 00:00:00+00:00,2026-01-24 00:00:00+00:00,127.15,TIMEOUT,False,LOSS,-2.06,-1.11,185.33,926.67
BTC/USDT,30m,SHORT,18,11,2,2,5,92340.0,93367.0,91107.6,90286.0,1.112,40.4,False,TRENDING,2026-01-20 03:00:00+00:00,2026-01-20 14:30:00+00:00,90286.0,TP2,True,WIN,4.07,1.78,228.65,1143.23
ETH/USDT,30m,SHORT,18,11,2,2,5,3187.46,3225.93,3141.3,3110.52,1.207,42.8,False,TRENDING,2026-01-20 03:00:00+00:00,2026-01-20 06:30:00+00:00,3110.52,TP2,True,WIN,4.68,1.93,242.21,1211.03
LINK/USDT,4h,SHORT,21,9,2,4,8,12.61,13.89,11.07,10.04,10.168,32.5,False,TRENDING,2026-01-20 04:00:00+00:00,2026-01-22 12:00:00+00:00,12.22,TIMEOUT,False,WIN,9.3,3.09,300.64,1503.2
LINK/USDT,30m,SHORT,16,8,3,2,5,12.61,12.97,12.17,11.88,2.903,35.1,True,TRENDING,2026-01-20 07:30:00+00:00,2026-01-21 19:30:00+00:00,12.61,SL_BE,True,WIN,6.32,1.74,362.47,1812.33
LINK/USDT,15m,SHORT,16,9,2,2,5,12.51,12.88,12.06,11.76,2.967,32.7,True,TRENDING,2026-01-20 08:30:00+00:00,2026-01-21 15:15:00+00:00,12.51,SL_BE,True,WIN,5.26,1.8,292.43,1462.16
ETH/USDT,30m,SHORT,16,9,2,2,5,3107.69,3199.62,2997.37,2923.83,2.958,26.9,False,TRENDING,2026-01-20 11:00:00+00:00,2026-01-20 22:30:00+00:00,2923.83,TP2,True,WIN,11.51,4.73,243.14,1215.71
BTC/USDT,4h,LONG,10,0,0,2,8,90638.0,89791.65,91653.63,92330.71,0.934,27.2,True,TRENDING,2026-01-20 12:00:00+00:00,2026-01-20 20:00:00+00:00,89791.65,SL,False,LOSS,-2.2,-0.93,235.15,1175.73
BTC/USDT,1h,SHORT,16,9,2,2,5,91239.1,93367.0,88685.62,86983.3,2.332,28.4,False,TRENDING,2026-01-20 12:00:00+00:00,2026-01-22 14:00:00+00:00,89044.9,TIMEOUT,True,WIN,6.64,2.6,255.24,1276.19
BTC/USDT,30m,SHORT,17,10,0,4,5,90580.0,92381.2,88418.56,86977.6,1.989,27.8,True,TRENDING,2026-01-20 15:00:00+00:00,2026-01-22 16:00:00+00:00,88959.7,TIMEOUT,True,WIN,4.79,2.09,229.46,1147.3
SOL/USDT,30m,SHORT,16,9,0,1,8,128.24,133.69,121.7,117.34,4.25,32.5,True,TRENDING,2026-01-20 15:00:00+00:00,2026-01-22 16:00:00+00:00,127.6,TIMEOUT,False,WIN,1.47,0.5,295.38,1476.9
BNB/USDT,1h,SHORT,16,9,2,2,5,896.2,932.9,852.16,822.8,4.095,30.6,True,TRENDING,2026-01-20 16:00:00+00:00,2026-01-22 18:00:00+00:00,883.5,TIMEOUT,False,WIN,3.41,1.42,240.88,1204.41
AVAX/USDT,2h,SHORT,16,9,2,2,5,12.09,12.84,11.18,10.57,6.263,26.6,False,TRENDING,2026-01-20 22:00:00+00:00,2026-01-23 02:00:00+00:00,12.25,TIMEOUT,False,LOSS,-4.68,-1.32,353.93,1769.67
ETH/USDT,30m,LONG,15,0,3,4,8,2938.49,2891.0,2995.48,3033.47,1.616,14.3,False,TRENDING,2026-01-20 23:00:00+00:00,2026-01-21 11:30:00+00:00,2938.49,SL_BE,True,WIN,2.38,0.97,245.44,1227.22
AVAX/USDT,30m,SHORT,17,9,0,2,8,12.09,12.54,11.54,11.18,3.773,29.8,False,TRENDING,2026-01-20 23:30:00+00:00,2026-01-21 19:30:00+00:00,12.54,SL,False,LOSS,-15.7,-3.72,421.73,2108.63
BTC/USDT,4h,LONG,10,0,0,2,8,89378.1,87716.1,91372.5,92702.1,1.86,17.3,False,TRENDING,2026-01-21 00:00:00+00:00,2026-01-21 16:00:00+00:00,87716.1,SL,False,LOSS,-4.36,-1.86,234.71,1173.53
DOGE/USDT,4h,LONG,13,0,3,2,8,0.1254,0.1185,0.1337,0.1392,5.493,23.0,False,TRENDING,2026-01-21 00:00:00+00:00,2026-01-23 08:00:00+00:00,0.12511,TIMEOUT,False,LOSS,-0.87,-0.23,375.93,1879.63
ETH/USDT,1d,LONG,12,0,2,2,8,2980.51,2853.64,3132.75,3234.24,4.256,37.8,False,TRENDING,2026-01-21 00:00:00+00:00,2026-01-25 00:00:00+00:00,2853.64,SL,False,LOSS,-9.53,-4.26,223.77,1118.84
AVAX/USDT,1h,LONG,13,0,3,2,8,12.25,11.94,12.63,12.88,2.547,30.5,False,TRENDING,2026-01-21 00:00:00+00:00,2026-01-21 16:00:00+00:00,11.94,SL,False,LOSS,-11.1,-2.53,438.44,2192.18
ETH/USDT,15m,SHORT,16,9,2,2,5,2936.41,3006.14,2852.73,2796.95,2.375,25.3,False,TRENDING,2026-01-21 00:15:00+00:00,2026-01-21 15:15:00+00:00,3006.14,SL,False,LOSS,-7.91,-2.37,333.19,1665.93
SOL/USDT,4h,LONG,13,0,3,2,8,127.53,124.48,131.19,133.63,2.392,27.9,False,TRENDING,2026-01-21 04:00:00+00:00,2026-01-22 12:00:00+00:00,127.53,SL_BE,True,WIN,5.04,1.43,351.43,1757.15
ETH/USDT,1h,LONG,17,0,3,6,8,2977.66,2891.0,3081.65,3150.98,2.91,31.9,False,TRENDING,2026-01-21 04:00:00+00:00,2026-01-21 16:00:00+00:00,2891.0,SL,False,LOSS,-9.15,-2.91,314.35,1571.75
BNB/USDT,15m,SHORT,16,9,3,1,5,881.1,888.0,872.82,867.3,0.783,47.6,False,TRENDING,2026-01-21 04:30:00+00:00,2026-01-21 12:00:00+00:00,867.3,TP2,True,WIN,3.79,1.25,302.56,1512.78
ETH/USDT,2h,SHORT,17,9,3,2,5,2968.65,3234.0,2650.23,2437.95,8.938,27.0,False,TRENDING,2026-01-21 06:00:00+00:00,2026-01-23 10:00:00+00:00,2939.36,TIMEOUT,False,WIN,2.43,0.99,246.29,1231.47
ADA/USDT,2h,LONG,13,0,5,0,8,0.3594,0.3462,0.3752,0.3858,3.673,44.7,False,TRENDING,2026-01-21 06:00:00+00:00,2026-01-21 16:00:00+00:00,0.3462,SL,False,LOSS,-19.87,-3.67,540.96,2704.82
BTC/USDT,2h,SHORT,17,9,3,2,5,89171.3,93367.0,84136.46,80779.9,4.705,35.4,False,TRENDING,2026-01-21 06:00:00+00:00,2026-01-23 10:00:00+00:00,89169.9,TIMEOUT,False,BE,0.0,0.0,277.59,1387.94
BNB/USDT,2h,SHORT,16,9,2,2,5,874.7,932.9,804.86,758.3,6.654,26.7,False,TRENDING,2026-01-21 06:00:00+00:00,2026-01-23 10:00:00+00:00,887.0,TIMEOUT,False,LOSS,-3.35,-1.41,238.08,1190.38
XRP/USDT,2h,LONG,16,0,4,4,8,1.9089,1.8679,1.9581,1.9909,2.148,39.5,False,TRENDING,2026-01-21 06:00:00+00:00,2026-01-21 16:00:00+00:00,1.9089,SL_BE,True,WIN,4.67,1.29,362.54,1812.68
AVAX/USDT,15m,LONG,12,0,0,4,8,12.21,12.12,12.31,12.38,0.721,35.7,True,RANGING,2026-01-21 08:45:00+00:00,2026-01-21 11:45:00+00:00,12.12,SL,False,LOSS,-2.52,-0.74,342.28,1711.42
BNB/USDT,30m,SHORT,19,10,2,4,5,873.7,885.6,859.42,849.9,1.362,36.5,False,TRENDING,2026-01-21 11:00:00+00:00,2026-01-21 15:00:00+00:00,885.6,SL,False,LOSS,-3.25,-1.36,238.33,1191.67
XRP/USDT,4h,SHORT,11,0,2,4,5,1.9568,2.0671,1.8244,1.7362,5.637,29.0,True,TRENDING,2026-01-21 12:00:00+00:00,2026-01-23 20:00:00+00:00,1.9185,TIMEOUT,False,WIN,3.29,1.96,168.33,841.64
ADA/USDT,4h,SHORT,12,0,3,4,5,0.362,0.3986,0.3181,0.2888,10.11,33.8,True,TRENDING,2026-01-21 12:00:00+00:00,2026-01-23 20:00:00+00:00,0.3601,TIMEOUT,False,WIN,2.35,0.52,448.63,2243.16
DOGE/USDT,15m,LONG,10,0,0,2,8,0.1224,0.1215,0.1235,0.1243,0.76,19.0,False,TRENDING,2026-01-21 12:30:00+00:00,2026-01-21 14:15:00+00:00,0.1243,TP2,True,WIN,3.82,1.23,311.42,1557.1
BNB/USDT,15m,SHORT,18,10,3,2,5,869.0,879.0,857.0,849.0,1.151,28.2,False,TRENDING,2026-01-21 12:30:00+00:00,2026-01-21 14:00:00+00:00,879.0,SL,False,LOSS,-3.49,-1.15,303.31,1516.57
AVAX/USDT,15m,LONG,12,0,0,4,8,12.08,11.95,12.23,12.34,1.068,38.1,False,TRENDING,2026-01-21 12:45:00+00:00,2026-01-21 14:30:00+00:00,12.34,TP2,True,WIN,5.8,1.7,341.78,1708.9
ETH/USDT,30m,SHORT,17,7,3,0,8,2990.7,3013.38,2963.48,2945.33,0.758,54.8,True,TRENDING,2026-01-21 15:00:00+00:00,2026-01-21 16:30:00+00:00,2945.33,TP2,True,WIN,2.98,1.21,245.92,1229.6
DOGE/USDT,30m,LONG,12,0,0,4,8,0.1255,0.1215,0.1303,0.1335,3.188,58.9,True,RANGING,2026-01-21 15:00:00+00:00,2026-01-21 16:30:00+00:00,0.1215,SL,False,LOSS,-17.6,-3.19,552.26,2761.32
XRP/USDT,30m,LONG,13,0,3,2,8,1.9439,1.8785,2.0224,2.0747,3.364,65.8,True,RANGING,2026-01-21 15:00:00+00:00,2026-01-21 16:30:00+00:00,1.8785,SL,False,LOSS,-11.19,-3.36,332.64,1663.18
BNB/USDT,30m,SHORT,12,8,0,1,5,887.7,892.25,882.25,878.61,0.512,57.4,True,TRENDING,2026-01-21 15:00:00+00:00,2026-01-21 16:30:00+00:00,878.61,TP2,True,WIN,1.95,0.82,237.68,1188.42
XRP/USDT,1h,LONG,11,0,1,2,8,1.8781,1.8585,1.9016,1.9173,1.044,64.3,True,TRENDING,2026-01-21 16:00:00+00:00,2026-01-21 19:00:00+00:00,1.9173,TP2,True,WIN,6.87,1.67,411.55,2057.77
BTC/USDT,4h,LONG,12,0,0,4,8,90315.0,87716.1,93433.68,95512.8,2.878,38.8,False,TRENDING,2026-01-21 16:00:00+00:00,2026-01-24 00:00:00+00:00,89731.0,TIMEOUT,False,LOSS,-1.51,-0.65,233.83,1169.17
ETH/USDT,4h,SHORT,16,9,2,2,5,3053.99,3368.8,2676.22,2424.37,10.308,33.4,False,TRENDING,2026-01-21 16:00:00+00:00,2026-01-24 00:00:00+00:00,2960.85,TIMEOUT,False,WIN,7.51,3.05,246.34,1231.68
